iter	RMSE
0	24.80007967
1	24.77183745
2	24.75547445
3	24.72974633
4	24.7102024
5	24.68446449
6	24.6671987
7	24.64376877
8	24.62337824
9	24.60080933
10	24.57325319
11	24.54676396
12	24.53201023
13	24.50936711
14	24.47682729
15	24.46058263
16	24.43759628
17	24.42478283
18	24.40355424
19	24.38717446
20	24.35129248
21	24.32646806
22	24.29981461
23	24.28319
24	24.26136633
25	24.23569343
26	24.21543643
27	24.20058444
28	24.18021711
29	24.16069563
30	24.12504542
31	24.10111757
32	24.08224437
33	24.06662305
34	24.0567384
35	24.0482237
36	24.02698822
37	24.0127982
38	23.99977925
39	23.98144651
40	23.96813178
41	23.95954753
42	23.9461356
43	23.93940518
44	23.92625681
45	23.92498853
46	23.91187715
47	23.89886722
48	23.88792059
49	23.87665701
50	23.86808351
51	23.85460486
52	23.84129126
53	23.8281276
54	23.81232438
55	23.7980694
56	23.7889183
57	23.77851389
58	23.76746171
59	23.74340312
60	23.73416072
61	23.7243955
62	23.71314218
63	23.69987115
64	23.68676016
65	23.66626485
66	23.64842707
67	23.63511234
68	23.61591567
69	23.60031892
70	23.5925146
71	23.58501684
72	23.56155292
73	23.55317863
74	23.54589271
75	23.53207101
76	23.50594436
77	23.49109759
78	23.48600988
79	23.47417462
80	23.45670898
81	23.44384518
82	23.42996181
83	23.41922815
84	23.4077522
85	23.39630871
86	23.38698209
87	23.38033197
88	23.36217719
89	23.34631623
90	23.33729496
91	23.32076706
92	23.30882312
93	23.29352677
94	23.27633369
95	23.27025514
96	23.25665911
97	23.24790139
98	23.22931293
99	23.21674941
100	23.20421174
101	23.19377248
102	23.18624111
103	23.17548172
104	23.17541832
105	23.15952143
106	23.14825908
107	23.13976421
108	23.12950786
109	23.11800006
110	23.11069853
111	23.0970764
112	23.07328289
113	23.0608761
114	23.05394976
115	23.0464729
116	23.03681178
117	23.01837797
118	23.00852668
119	22.99949688
120	22.98589255
121	22.97696513
122	22.9642007
123	22.94767671
124	22.93356028
125	22.92288076
126	22.91179879
127	22.90182064
128	22.88948413
129	22.87484361
130	22.86390807
131	22.85280411
132	22.83663896
133	22.81841662
134	22.80941054
135	22.80180204
136	22.79378819
137	22.78570847
138	22.7752306
139	22.74857156
140	22.74425543
141	22.73242887
142	22.71272212
143	22.70912152
144	22.69642756
145	22.68302296
146	22.66809658
147	22.65919677
148	22.64892431
149	22.63816463
150	22.63327559
151	22.61653789
152	22.60995332
153	22.59834095
154	22.58658971
155	22.57672782
156	22.56775452
157	22.55308502
158	22.5419956
159	22.53477072
160	22.52297225
161	22.5153766
162	22.49748361
163	22.47876966
164	22.4639541
165	22.44619464
166	22.43224462
167	22.41787498
168	22.40038392
169	22.38190306
170	22.37005081
171	22.35992489
172	22.35487934
173	22.34333046
174	22.3208884
175	22.3129647
176	22.30725996
177	22.29460875
178	22.28453098
179	22.27561582
180	22.26468174
181	22.25126097
182	22.24852443
183	22.23927037
184	22.22225742
185	22.19719623
186	22.18967248
187	22.16886883
188	22.15807073
189	22.14007528
190	22.12201889
191	22.11173435
192	22.10463299
193	22.09430203
194	22.08218348
195	22.06171314
196	22.05628124
197	22.04902453
198	22.0384899
199	22.0169111
200	22.00335741
201	21.99324319
202	21.97931626
203	21.96998945
204	21.94954253
205	21.9378409
206	21.91934896
207	21.90741122
208	21.90444656
209	21.89184821
210	21.88629095
211	21.8768497
212	21.86920675
213	21.8582795
214	21.84888384
215	21.83900272
216	21.82743176
217	21.81416517
218	21.80718398
219	21.80006012
220	21.77853092
221	21.7713597
222	21.76290225
223	21.75145365
224	21.74935786
225	21.72997846
226	21.71624862
227	21.70586177
228	21.69705655
229	21.68324198
230	21.66768021
231	21.66410381
232	21.63735257
233	21.62651083
234	21.61454084
235	21.60672916
236	21.58985486
237	21.58259419
238	21.56916618
239	21.56420289
240	21.54984374
241	21.53774986
242	21.52734486
243	21.51375863
244	21.50362527
245	21.49208591
246	21.48004138
247	21.4559414
248	21.44262372
249	21.43071362
250	21.4139217
251	21.40440061
252	21.38924545
253	21.38127443
254	21.3722295
255	21.35877498
256	21.34809476
257	21.33324008
258	21.31660826
259	21.30455899
260	21.2898092
261	21.28248587
262	21.27030569
263	21.25939122
264	21.25546022
265	21.2393312
266	21.22496886
267	21.21498602
268	21.20440691
269	21.1949109
270	21.18385252
271	21.17385435
272	21.16299408
273	21.15327324
274	21.14321662
275	21.13332389
276	21.11735103
277	21.09746729
278	21.08983513
279	21.07878522
280	21.07331632
281	21.0569481
282	21.04419795
283	21.03412463
284	21.01959823
285	21.00847968
286	21.00341393
287	20.9860166
288	20.97923008
289	20.96548243
290	20.94193644
291	20.93708537
292	20.92380026
293	20.91570576
294	20.9054542
295	20.89605198
296	20.88637804
297	20.87794236
298	20.86662537
299	20.85495896
300	20.84576227
301	20.828565
302	20.8178734
303	20.81103143
304	20.80019656
305	20.78695841
306	20.77365127
307	20.76309837
308	20.7530477
309	20.73851737
310	20.72838824
311	20.72189395
312	20.71449995
313	20.70642149
314	20.70299165
315	20.69399486
316	20.68467143
317	20.67218548
318	20.65708547
319	20.64590854
320	20.63839914
321	20.62826241
322	20.61921615
323	20.60579683
324	20.59407033
325	20.58790038
326	20.57554726
327	20.56720615
328	20.54964024
329	20.54158402
330	20.52061144
331	20.51030182
332	20.5049256
333	20.49038179
334	20.47494878
335	20.46480094
336	20.4545257
337	20.44675118
338	20.43450688
339	20.41930075
340	20.4121647
341	20.39759938
342	20.38728013
343	20.37818266
344	20.36912316
345	20.35657202
346	20.34563159
347	20.32624218
348	20.31590582
349	20.30656418
350	20.29222182
351	20.27553547
352	20.26663931
353	20.25154037
354	20.24297415
355	20.22974937
356	20.21982581
357	20.20699402
358	20.19446137
359	20.18112304
360	20.17622488
361	20.1687644
362	20.15825918
363	20.14749938
364	20.13322066
365	20.12554545
366	20.11595714
367	20.10158455
368	20.09197972
369	20.08768174
370	20.08205739
371	20.05921273
372	20.04834864
373	20.04137208
374	20.02315398
375	20.01654418
376	20.00420804
377	19.99755271
378	19.98076069
379	19.96727786
380	19.96161872
381	19.9565078
382	19.95130226
383	19.94154067
384	19.9318477
385	19.92564191
386	19.91404151
387	19.90318195
388	19.89487768
389	19.88314295
390	19.86845945
391	19.86215659
392	19.85428306
393	19.8404553
394	19.83404636
395	19.82827569
396	19.81968611
397	19.80533683
398	19.80377699
399	19.79529501
400	19.78443169
401	19.77296713
402	19.75671396
403	19.749211
404	19.73818974
405	19.73259312
406	19.72410493
407	19.71677889
408	19.70568969
409	19.69407887
410	19.68925941
411	19.67902474
412	19.67202375
413	19.66838609
414	19.65798691
415	19.65549971
416	19.64347128
417	19.63272162
418	19.62570517
419	19.61737341
420	19.60471452
421	19.59654465
422	19.58527938
423	19.57578288
424	19.56409766
425	19.55505436
426	19.54651785
427	19.53789292
428	19.53303912
429	19.52238473
430	19.51361544
431	19.51123099
432	19.5039753
433	19.49846063
434	19.47741541
435	19.46069077
436	19.45298062
437	19.44774348
438	19.44130008
439	19.43388546
440	19.42802656
441	19.4157585
442	19.4130578
443	19.4067241
444	19.39134726
445	19.38645902
446	19.37353234
447	19.36337724
448	19.35494455
449	19.34696678
450	19.3416775
451	19.33399101
452	19.3261495
453	19.31773884
454	19.3016533
455	19.29734207
456	19.28919753
457	19.27702316
458	19.26962884
459	19.26352883
460	19.26180974
461	19.2434716
462	19.23954709
463	19.2288658
464	19.22055783
465	19.20737298
466	19.19927957
467	19.18704946
468	19.17664853
469	19.16926554
470	19.16294409
471	19.15475485
472	19.14783936
473	19.13327184
474	19.12925828
475	19.12769562
476	19.11202077
477	19.09792904
478	19.09285322
479	19.07808789
480	19.06397004
481	19.05839458
482	19.05053554
483	19.0332686
484	19.02720756
485	19.0149475
486	19.00948516
487	19.00547907
488	18.99330367
489	18.98267603
490	18.97344448
491	18.97063235
492	18.95748322
493	18.94763483
494	18.94286326
495	18.93258496
496	18.92725908
497	18.91944413
498	18.913431
499	18.90598831
500	18.89441454
501	18.88935711
502	18.87815012
503	18.87263653
504	18.86392188
505	18.84871934
506	18.84049218
507	18.82297161
508	18.81849142
509	18.80860121
510	18.80645478
511	18.7975151
512	18.79168029
513	18.77956961
514	18.76858611
515	18.76028432
516	18.75206814
517	18.74752733
518	18.73924583
519	18.73480292
520	18.72951059
521	18.72095033
522	18.70739856
523	18.69090336
524	18.68381831
525	18.67708732
526	18.67010117
527	18.65510354
528	18.65116353
529	18.64257008
530	18.63159463
531	18.62012814
532	18.61356651
533	18.60303826
534	18.5976328
535	18.58280807
536	18.57966515
537	18.56940297
538	18.56416217
539	18.55389478
540	18.54620891
541	18.53703911
542	18.53179704
543	18.52275671
544	18.51765271
545	18.51047674
546	18.4943901
547	18.48048004
548	18.47725013
549	18.47343378
550	18.46418348
551	18.45320836
552	18.44210523
553	18.43354231
554	18.42631316
555	18.4203871
556	18.41824189
557	18.41095739
558	18.40147828
559	18.39376079
560	18.38449873
561	18.37660472
562	18.3663068
563	18.35267268
564	18.34548326
565	18.3365149
566	18.33298454
567	18.32918836
568	18.32253287
569	18.31298462
570	18.30199764
571	18.28724965
572	18.27475962
573	18.26493722
574	18.25743677
575	18.24758391
576	18.24077108
577	18.22862286
578	18.2175286
579	18.2125729
580	18.20730903
581	18.20141059
582	18.19304212
583	18.1848422
584	18.1790723
585	18.16489924
586	18.16075176
587	18.15324002
588	18.15289691
589	18.14932941
590	18.14128661
591	18.13480187
592	18.12894216
593	18.11962456
594	18.11387239
595	18.10366584
596	18.09890994
597	18.08508388
598	18.07398405
599	18.06003052
600	18.04988841
601	18.04130637
602	18.03585571
603	18.02583511
604	18.01143432
605	18.00445226
606	17.99648812
607	17.99011534
608	17.98561156
609	17.98056629
610	17.97080895
611	17.9628119
612	17.95739645
613	17.94834177
614	17.9364391
615	17.93338332
616	17.9242799
617	17.91871927
618	17.91152889
619	17.9024592
620	17.89636497
621	17.88487117
622	17.87834346
623	17.8682897
624	17.86311923
625	17.85886921
626	17.85255486
627	17.84539497
628	17.8393064
629	17.82996356
630	17.82426439
631	17.81899089
632	17.80197056
633	17.78768709
634	17.77430328
635	17.76941264
636	17.75521982
637	17.74568258
638	17.73708036
639	17.72664123
640	17.71688449
641	17.70950607
642	17.69776533
643	17.68536067
644	17.67480794
645	17.6636455
646	17.65697512
647	17.64446482
648	17.63128245
649	17.62233078
650	17.61659867
651	17.60538366
652	17.60342466
653	17.59970399
654	17.5897394
655	17.58350505
656	17.57514571
657	17.5642105
658	17.55900039
659	17.54981639
660	17.54576508
661	17.53198291
662	17.52994642
663	17.52312597
664	17.51506126
665	17.51263375
666	17.50419718
667	17.4993481
668	17.49060145
669	17.48957557
670	17.48608397
671	17.47324216
672	17.46998548
673	17.45664307
674	17.44686231
675	17.43620148
676	17.42874501
677	17.41483377
678	17.41066968
679	17.40415875
680	17.39698271
681	17.38890746
682	17.38201715
683	17.37852559
