iter	Passed	Remaining
0	1	1975
1	3	1769
2	5	1678
3	6	1639
4	8	1595
5	9	1571
6	10	1550
7	12	1542
8	13	1528
9	15	1517
10	16	1519
11	18	1526
12	20	1520
13	21	1516
14	23	1513
15	24	1509
16	26	1503
17	27	1495
18	28	1493
19	30	1490
20	32	1492
21	33	1488
22	35	1488
23	36	1487
24	38	1484
25	39	1481
26	41	1480
27	42	1478
28	44	1478
29	45	1477
30	47	1476
31	48	1476
32	50	1479
33	51	1476
34	53	1474
35	54	1471
36	56	1470
37	58	1469
38	59	1468
39	61	1471
40	64	1500
41	66	1525
42	68	1522
43	69	1520
44	71	1518
45	72	1495
46	73	1493
47	75	1494
48	77	1503
49	79	1504
50	80	1501
51	82	1501
52	83	1499
53	85	1500
54	87	1498
55	88	1497
56	90	1494
57	91	1492
58	93	1490
59	94	1488
60	96	1485
61	98	1484
62	99	1485
63	101	1485
64	103	1482
65	104	1480
66	106	1478
67	107	1476
68	109	1475
69	110	1473
70	112	1470
71	114	1471
72	115	1471
73	117	1471
74	119	1470
75	120	1469
76	122	1467
77	123	1465
78	125	1464
79	127	1463
80	128	1462
81	130	1462
82	132	1463
83	134	1462
84	135	1460
85	137	1459
86	138	1458
87	140	1456
88	142	1455
89	143	1453
90	145	1457
91	147	1457
92	149	1457
93	151	1458
94	153	1457
95	154	1459
96	156	1459
97	158	1460
98	160	1459
99	162	1461
100	163	1459
101	165	1457
102	167	1456
103	168	1455
104	169	1445
105	171	1444
106	172	1442
107	174	1441
108	176	1443
109	179	1452
110	181	1451
111	182	1449
112	184	1448
113	186	1447
114	187	1445
115	189	1444
116	191	1442
117	192	1442
118	195	1444
119	196	1443
120	198	1445
121	200	1446
122	202	1444
123	204	1443
124	205	1441
125	207	1439
126	209	1438
127	211	1437
128	212	1437
129	214	1436
130	216	1436
131	218	1434
132	219	1433
133	221	1431
134	223	1431
135	225	1435
136	227	1436
137	229	1436
138	232	1437
139	233	1436
140	235	1435
141	237	1434
142	239	1434
143	242	1438
144	244	1439
145	246	1439
146	247	1438
147	249	1436
148	251	1434
149	252	1432
150	254	1431
151	256	1432
152	258	1431
153	260	1430
154	262	1429
155	263	1428
156	265	1426
157	267	1425
158	269	1424
159	271	1423
160	273	1424
161	275	1422
162	276	1421
163	278	1419
164	280	1418
165	281	1416
166	283	1414
167	285	1412
168	286	1410
169	288	1410
170	290	1409
171	292	1408
172	294	1407
173	296	1405
174	297	1404
175	299	1402
176	301	1400
177	303	1399
178	304	1398
179	306	1397
180	308	1395
181	310	1394
182	311	1390
183	313	1392
184	316	1393
185	318	1392
186	319	1391
187	321	1390
188	323	1388
189	325	1387
190	327	1385
191	328	1384
192	330	1382
193	332	1380
194	334	1379
195	336	1379
196	338	1377
197	340	1378
198	342	1379
199	344	1378
200	346	1376
201	347	1374
202	349	1372
203	351	1371
204	353	1369
205	355	1368
206	356	1367
207	358	1366
208	360	1364
209	362	1364
210	364	1362
211	366	1361
212	368	1360
213	370	1359
214	372	1358
215	374	1358
216	376	1356
217	377	1355
218	379	1354
219	381	1352
220	383	1352
221	385	1351
222	387	1350
223	389	1348
224	390	1346
225	392	1345
226	394	1343
227	396	1342
228	398	1340
229	400	1340
230	402	1339
231	404	1337
232	405	1336
233	407	1334
234	409	1332
235	411	1331
236	413	1330
237	415	1328
238	416	1327
239	418	1326
240	420	1325
241	422	1324
242	424	1322
243	426	1321
244	428	1319
245	430	1319
246	432	1318
247	434	1316
248	436	1315
249	438	1316
250	440	1315
251	442	1314
252	444	1312
253	446	1312
254	448	1310
255	450	1309
256	452	1308
257	454	1306
258	456	1304
259	457	1303
260	459	1301
261	461	1301
262	463	1299
263	465	1298
264	467	1296
265	469	1295
266	471	1294
267	473	1292
268	475	1291
269	477	1290
270	479	1288
271	480	1286
272	482	1285
273	484	1284
274	486	1282
275	488	1281
276	490	1279
277	492	1278
278	494	1277
279	496	1275
280	497	1273
281	499	1272
282	501	1270
283	503	1269
284	505	1268
285	507	1266
286	509	1265
287	511	1264
288	513	1262
289	515	1261
290	517	1260
291	519	1258
292	521	1257
293	523	1256
294	525	1255
295	527	1253
296	529	1252
297	530	1250
298	532	1249
299	535	1248
300	536	1247
301	538	1245
302	541	1244
303	542	1243
304	544	1241
305	546	1240
306	548	1238
307	550	1237
308	552	1235
309	554	1233
310	556	1232
311	558	1231
312	560	1229
313	562	1228
314	565	1229
315	567	1227
316	569	1226
317	570	1224
318	573	1223
319	575	1222
320	577	1220
321	578	1218
322	580	1217
323	582	1216
324	584	1214
325	586	1212
326	589	1213
327	592	1213
328	594	1212
329	596	1211
330	598	1209
331	600	1208
332	602	1206
333	604	1205
334	606	1204
335	608	1202
336	610	1201
337	612	1199
338	614	1198
339	616	1196
340	618	1194
341	620	1193
342	622	1192
343	624	1190
344	626	1189
345	628	1187
346	630	1186
347	632	1184
348	634	1182
349	636	1181
350	638	1180
351	640	1178
352	642	1177
353	644	1175
354	646	1174
355	648	1172
356	650	1171
357	653	1171
358	655	1170
359	657	1169
360	659	1167
361	661	1166
362	663	1164
363	665	1163
364	667	1161
365	669	1160
366	671	1158
367	673	1157
368	675	1155
369	677	1154
370	679	1152
371	681	1150
372	683	1149
373	685	1147
374	687	1146
375	689	1144
376	691	1142
377	693	1141
378	695	1139
379	697	1137
380	699	1136
381	701	1135
382	704	1134
383	706	1133
384	708	1131
385	710	1129
386	712	1128
387	714	1126
388	716	1126
389	719	1125
390	721	1123
391	723	1122
392	725	1120
393	727	1119
394	729	1117
395	731	1116
396	733	1114
397	735	1113
398	737	1111
399	739	1109
400	741	1108
401	744	1106
402	746	1105
403	748	1104
404	750	1102
405	752	1100
406	754	1098
407	756	1096
408	758	1095
409	760	1093
410	761	1091
411	764	1090
412	766	1089
413	768	1087
414	770	1085
415	772	1084
416	774	1082
417	776	1080
418	778	1079
419	780	1078
420	782	1076
421	784	1074
422	786	1073
423	788	1071
424	790	1069
425	792	1068
426	794	1066
427	797	1065
428	799	1063
429	801	1062
430	803	1060
431	805	1059
432	807	1057
433	810	1056
434	812	1055
435	814	1053
436	816	1051
437	818	1050
438	820	1048
439	822	1047
440	824	1045
441	827	1044
442	829	1042
443	831	1040
444	833	1039
445	835	1037
446	837	1036
447	839	1034
448	842	1033
449	844	1031
450	846	1029
451	848	1028
452	850	1026
453	852	1024
454	854	1023
455	856	1021
456	858	1020
457	861	1018
458	863	1017
459	865	1015
460	867	1014
461	870	1013
462	872	1011
463	874	1010
464	877	1009
465	879	1007
466	881	1006
467	883	1004
468	885	1002
469	887	1001
470	890	1000
471	893	999
472	895	997
473	897	996
474	899	994
475	901	992
476	903	990
477	905	989
478	908	987
479	910	986
480	912	984
481	914	983
482	916	981
483	918	979
484	921	978
485	923	976
486	925	974
487	927	972
488	929	971
489	931	969
490	933	967
491	935	966
492	937	964
493	939	962
494	941	960
495	944	959
496	946	957
497	948	955
498	950	954
499	952	952
500	954	951
501	957	949
502	959	947
503	961	946
504	963	944
505	965	942
506	967	940
507	969	939
508	971	937
509	973	935
510	975	933
511	978	932
512	980	930
513	982	928
514	984	927
515	986	925
516	988	923
517	990	921
518	992	920
519	994	918
520	996	916
521	998	914
522	1001	913
523	1003	911
524	1005	909
525	1007	907
526	1009	906
527	1011	904
528	1013	902
529	1015	900
530	1020	900
531	1022	899
532	1024	897
533	1026	895
534	1028	893
535	1030	892
536	1033	890
537	1036	889
538	1038	887
539	1040	886
540	1042	884
541	1044	882
542	1046	880
543	1048	879
544	1051	877
545	1053	875
546	1055	874
547	1057	872
548	1059	870
549	1061	868
550	1063	866
551	1065	864
552	1067	863
553	1069	861
554	1071	859
555	1073	857
556	1075	855
557	1077	853
558	1079	852
559	1082	850
560	1084	848
561	1086	846
562	1088	844
563	1090	842
564	1092	840
565	1094	839
566	1096	837
567	1098	835
568	1100	833
569	1102	832
570	1104	830
571	1106	828
572	1109	826
573	1111	825
574	1113	823
575	1115	821
576	1118	819
577	1120	817
578	1122	815
579	1124	814
580	1126	812
581	1128	810
582	1130	808
583	1132	806
584	1134	805
585	1136	803
586	1139	801
587	1141	799
588	1143	797
589	1145	795
590	1147	794
591	1149	792
592	1151	790
593	1153	788
594	1156	786
595	1158	785
596	1160	783
597	1162	781
598	1164	779
599	1166	777
600	1169	776
601	1171	774
602	1174	773
603	1177	772
604	1179	770
605	1181	768
606	1184	766
607	1186	764
608	1188	762
609	1190	761
610	1193	759
611	1195	757
612	1197	756
613	1199	754
614	1201	752
615	1203	750
616	1205	748
617	1208	746
618	1210	744
619	1212	743
620	1214	741
621	1216	739
622	1218	737
623	1221	735
624	1223	734
625	1225	732
626	1227	730
627	1229	728
628	1232	726
629	1234	724
630	1236	723
631	1238	721
632	1241	719
633	1243	717
634	1245	716
635	1247	714
636	1250	712
637	1252	710
638	1254	708
639	1256	706
640	1258	705
641	1260	703
642	1263	701
643	1265	699
644	1267	697
645	1269	695
646	1271	693
647	1273	691
648	1276	690
649	1278	688
650	1280	686
651	1282	684
652	1284	682
653	1286	680
654	1288	678
655	1290	676
656	1292	674
657	1294	672
658	1296	670
659	1298	668
660	1301	667
661	1308	668
662	1312	667
663	1314	665
664	1316	663
665	1319	661
666	1324	661
667	1328	660
668	1330	658
669	1332	656
670	1334	654
671	1337	652
672	1339	650
673	1341	648
674	1343	647
675	1346	645
676	1348	643
677	1350	641
678	1352	639
679	1354	637
680	1356	635
681	1358	633
682	1361	631
683	1363	629
684	1365	627
685	1367	625
686	1369	624
687	1371	622
688	1373	620
689	1376	618
690	1378	616
691	1380	614
692	1382	612
693	1384	610
694	1386	608
695	1389	606
696	1391	604
697	1393	602
698	1395	600
699	1397	598
700	1399	596
701	1401	595
702	1404	593
703	1406	591
704	1408	589
705	1410	587
706	1412	585
707	1414	583
708	1416	581
709	1418	579
710	1421	577
711	1423	575
712	1425	573
713	1427	571
714	1429	569
715	1431	567
716	1433	565
717	1435	563
718	1438	562
719	1440	560
720	1442	558
721	1444	556
722	1446	554
723	1450	552
724	1453	551
725	1455	549
726	1457	547
727	1459	545
728	1461	543
729	1464	541
730	1466	539
731	1468	537
732	1470	535
733	1473	533
734	1475	531
735	1477	529
736	1479	527
737	1481	526
738	1484	524
739	1486	522
740	1488	520
741	1490	518
742	1492	516
743	1494	514
744	1496	512
745	1498	510
746	1500	508
747	1502	506
748	1505	504
749	1507	502
750	1509	500
751	1511	498
752	1513	496
753	1516	494
754	1518	492
755	1520	490
756	1522	488
757	1524	486
758	1526	484
759	1529	482
760	1531	480
761	1533	478
762	1535	476
763	1537	474
764	1539	472
765	1541	470
766	1543	468
767	1546	467
768	1548	465
769	1550	463
770	1552	461
771	1554	459
772	1556	457
773	1558	455
774	1560	453
775	1562	451
776	1564	449
777	1566	447
778	1569	445
779	1571	443
780	1573	441
781	1575	439
782	1577	437
783	1580	435
784	1582	433
785	1584	431
786	1586	429
787	1589	427
788	1591	425
789	1594	423
790	1596	421
791	1598	419
792	1600	417
793	1602	415
794	1604	413
795	1606	411
796	1609	409
797	1611	407
798	1613	405
799	1615	403
800	1617	401
801	1619	399
802	1622	398
803	1626	396
804	1628	394
805	1630	392
806	1632	390
807	1634	388
808	1636	386
809	1638	384
810	1640	382
811	1642	380
812	1644	378
813	1646	376
814	1648	374
815	1651	372
816	1652	370
817	1654	368
818	1657	366
819	1659	364
820	1661	362
821	1663	360
822	1665	358
823	1667	356
824	1669	354
825	1671	352
826	1673	350
827	1675	348
828	1677	346
829	1679	344
830	1682	342
831	1684	340
832	1686	338
833	1688	336
834	1690	334
835	1692	331
836	1694	329
837	1696	327
838	1698	325
839	1700	323
840	1702	321
841	1704	319
842	1706	317
843	1708	315
844	1710	313
845	1712	311
846	1714	309
847	1717	307
848	1719	305
849	1721	303
850	1723	301
851	1725	299
852	1727	297
853	1729	295
854	1732	293
855	1734	291
856	1737	289
857	1739	287
858	1741	285
859	1743	283
860	1745	281
861	1747	279
862	1750	277
863	1752	275
864	1754	273
865	1757	271
866	1759	269
867	1762	268
868	1764	266
869	1767	264
870	1769	262
871	1771	260
872	1773	258
873	1775	256
874	1778	254
875	1780	252
876	1783	250
877	1785	248
878	1787	246
879	1790	244
880	1792	242
881	1794	240
882	1797	238
883	1799	236
884	1801	234
885	1804	232
886	1806	230
887	1808	228
888	1811	226
889	1813	224
890	1816	222
891	1818	220
892	1820	218
893	1823	216
894	1825	214
895	1827	212
896	1830	210
897	1832	208
898	1834	206
899	1837	204
900	1839	202
901	1841	200
902	1843	198
903	1846	196
904	1848	194
905	1850	192
906	1853	189
907	1855	187
908	1857	185
909	1860	184
910	1863	182
911	1865	180
912	1867	177
913	1870	175
914	1872	173
915	1874	171
916	1877	169
917	1880	167
918	1882	165
919	1884	163
920	1886	161
921	1888	159
922	1891	157
923	1894	155
924	1897	153
925	1899	151
926	1901	149
927	1903	147
928	1905	145
929	1907	143
930	1910	141
931	1912	139
932	1914	137
933	1916	135
934	1918	133
935	1920	131
936	1922	129
937	1925	127
938	1927	125
